,total_string
1511,Play mere lapsed by Marilyn Moore.
1512,Please play the most popular ep from 1998 by Mc Frontalot 
1513,play some Spotify by Danni Bassan
1514,play the best album from the seventies
1515,Play music from 2016.
1516,I want to hear jon sholle's stuff from 2009 on Groove Shark
1517,play music by Rodney Whitaker
1518,Please play a movement by Rupam Islam
1519,play the latest Thelma Aoyama
1520,Play some music by Karl Blau.
1521,Open pandora and play the top five melody by Hanna Sjedokowa
1522,play Phil Spalding soundtrack from the seventies
1523,Play Dancing Through Life by Ronald Isley on spotify
1524,Play a top symphony sort form 1959 by Stuart Garrard.
1525,I want to listen to seventies music.
1526,Play something by Holly Cole on lastfm 
1527,Play rhythmic
1528,Play Punk Essentials on google music
1529,Play the top-20 best Chicane songs on Deezer
1530,Play Songs Of Heaven by ami koshimizu
1531,Play Dj Subroc on Itunes
1532,Play a song by Tim Finn on Last Fm
1533,Play music from the sixties
1534,Play Oliver on pandora.
1535,"Play some 2011 chant music, new first, by Shaggy."
1536,play the top song from Damon Albarn using Slacker
1537,Play sixties music by giovanni battista guadagnini.
1538,Play some music from the last album of 1988 on Lastfm
1539,Please start playing some thirties theme music.
1540,Can I hear Anna Vissi's new music on Pandora?
1541,Play music by artist mark ashley
1542,Play the top Maynard James Keenan.
1543,I want to hear a top-20 chant from the twenties
1544,Play the most popular song by espen lind
1545,Play Yuauea by Rick Ross
1546,Play The Tyranny Of Distance by Willy Mason.
1547,Play a top song by Carson Parks on Groove Shark
1548,Use Deezer to play the last song from Lee Dorrian
1549,Play some seventies music on netflix.
1550,Play fourties record
1551,Play Chad I Ginsburg
1552,Can you pull up a track on Zvooq by Graham Mcpherson
1553,Play 1993 theme music
1554,Play something off Google Music
1555,Open youtube
1556,Play some music on spotify
1557,Play the song Drifting On A Reed by Bobby G
1558,Play new movement from Mike Oldfield on Vimeo
1559,Play Foundling by Jean Grae on Vimeo.
1560,Play some acapella music on Iheart
1561,Play some sixties music by gaudi on last fm
1562,"Play a tune or two from Kansas City, Missouri"
1563,play some songs from the fourties by yoshiki fukuyama
1564,play Angela Winbush ep that is popular
1565,play To Be Still
1566,I want to hear Gloryhole from Mani off of Lastfm
1567,play music by Charlie Adams from 1954
1568,play the It Could Only Happen With You album by Lawrence
1569,Play Moondog's Chupacabra.
1570,I'd like to hear some trip-hop
1571,Play a 2001 tune
1572,Can you pull up and play something on Itunes
1573,I want to hear some theme music by Edsel Dope
1574,Play some music from 1993 on Itunes.
1575,I want to hear the new Vasilis Tsitsanis ep
1576,play a sound track by Vegard Sverre Tveitan
1577,Play Crucifixion on Deezer.
1578,I want to hear the album Suites & Sweets
1579,Play Adrian Borland's music on Zvooq.
1580,Open The Second Adventure album by Hans Nilsson
1581,Play something off Rage Radio
1582,I want to hear This Is The Night from Proof
1583,Play Classical X
1584,Play me a song by Michael Diamond
1585,play Kurt Cobain ballad tunes
1586,Play some Eddie Vinson on Deezer
1587,Play the greatest record by Leroi Moore
1588,Play Dawn Richard song White Summer
1589,Play some Ray Williams music from the nineties on spotify
1590,play chant on groove shark from 1996
1591,Play the top fifty record from Alan Jardine
1592,play newest Robert Palmer sound track
1593,Play music on my Itunes
1594,Play something by Daisy Voisin on google music
1595,Play some Dj Qbert.
1596,Play Supernaut by Armand Van Helden
1597,Can I hear a Da Brat ep?
1598,play symphony music from the fourties with google music
1599,Play got to be free by Madeleine Peyroux
1600,Play music in the genre soundtrack
1601,play some fifties tunes by Mike Mccready
1602,Play music from Carina Round
1603,I want to hear the new movement from Richard Harvey
1604,Play a song off The Best Of Siouxsie & The Banshees by Faustino Oramas
1605,"Play the album, Dance Hall At Louse Point."
1606,play Lighter by Pamela Jintana Racine
1607,Play the top-ten soundtrack from Kiara.
1608,play the last chant from the fourties
1609,Play Gary Chapman music from the fifties
1610,Play some Armik from the fourties
1611,play a popular sort of fifties tune music
1612,I'd like to hear Helen Baylor
1613,Play music from 1989 by Maya.
1614,Play Kool Keith Presents Thee Undatakerz by John Mccrea.
1615,play Piano 100
1616,Play some music on Lastfm
1617,Play a concerto top ten sort by Lloyd.
1618,Play Arif music from the fourties.
1619,Play music off Netflix.
1620,Open Pandora and play music from the fifties. 
1621,have Zvooq play songs from the fifties
1622,Play some chant music by Kevin Jonas on deezer.
1623,Play paul ortiz music from 1990
1624,Play some Glenn Stetson music on Spotify
1625,Open Groove Shark and play sound track from Dj Cameo
1626,Play music on Iheart
1627,Play my Top Gaming Tracks.
1628,something on Spotify please
1629,Play Burhøns by Ernie C.
1630,Let me hear an ep from the thirties era of music.
1631,Proceed with music from 2003.
1632,Play Elkie Brooks seventies sound track
1633,Open Vimeo and play music.
1634,play a top twenty symphony of 2010
1635,Play music from the artist Taktloss from the record in the thirties
1636,I want to listen to some Aaliyah
1637,Play my New Indie Mix on Google Music.
1638,Can you use Pandora to play a soundtrack from 1999 by David Sitek?
1639,play Deezer form 2010 tune by Dave Grohl
1640,Play some caribou from the sixties
1641,Play drum & bass music
1642,Use netflix to play a record by Emil Gilels from year 2015
1643,play Steven Reineke greatest soundtrack on Youtube
1644,turn on Google Music to play 1991
1645,Open iheart and play Te Para Tres
1646,play some fourties Andrew Lloyd Webber on Groove Shark
1647,play music by Ryan Malcolm from Sympathy For The Devil on Pandora
1648,Play some Instrumental music on the service Lastfm
1649,Play the song vodka by Kunal Ganjawala on Itunes
1650,Play all music Alan released in 1997
1651,Play Dansevise by Ebi on Groove Shark.
1652,I want to hear some The Roches
1653,Play me something Miles Davis did with a symphony
1654,Play music off Youtube.
1655,play some sixties music
1656,play Soheila Zaland
1657,Play music year 2016 by artist Michiru Yamane
1658,play Lastfm tunes from 1997
1659,listen to Westbam alumb Allergic on Google Music
1660,Play ecstatic
1661,Play some music on groove shark.
1662,I need some ambient music. 
1663,Play a song by Nash The Slash
1664,Play me a symphony by Ricky Bell
1665,Play the energic Itunes
1666,play the best Elizaveta Khripounova
1667,Play 2006 chant music.
1668,I'd like to hear Ami Suzuki's latest record
1669,Play Crazy=genius by The Alchemist
1670,Can I listen to merengue style music?
1671,turn on Last Fm
1672,play the last Chris Douglas on Slacker
1673,play eighties track
1674,Wish to hear music from the year 1996
1675,Play Soldier Boy from Melody Gardot
1676,Play new melody by Kenji Ito on Itunes.
1677,Please play Bitch Please Ii
1678,Could you play the album B Men Gaho by Nathaniel Shilkret
1679,Does Netflix have music released in 1991 by You Yokoyama
1680,play robin hood and the bishop of hereford by Jon Mayer
1681,Play Slow Rock on Lastfm.
1682,Play some nineties music on Zvooq
1683,Play Stereo by Jonathan Davis on Deezer.
1684,Play Pacific Ocean Blues by John Doe on Lastfm
1685,Play some Paul Stookey from the sixties
1686,Play the song American Patrol by lauryn hill
1687,I want to hear some sixties  melody from Mark Mcentee off of Google Music
1688,Play Junun by Noam Kaniel.
1689,Please play anything by george formby jr
1690,play In The Arms Of God on Zvooq by Nimal Mendis
1691,Play some Jungle music on iheart
1692,I want to hear a track from the fourties.
1693,Play me a 2015 soundtrack on Netflix
1694,give me some Hank Shermann from 1975 on Lastfm
1695,Can you play an ep by Tatjana Iwanowna Bulanowa
1696,Play the top ten theme music from 1975 by Tom Baxter
1697,Let me use netflix to listen to the last soundtrack from Out Of Eden.
1698,Play El Cant Dels Ocells by vini lopez.
1699,Play me a Cinder Block movement
1700,Play a melody by Colin Blunstone
1701,Play a song from 1990 on Netflix
1702,Want to play Christina Schollin Lastfm
1703,Play top-twenty fourties movement music by Mohammad Reza Lotfi.
1704,play the top nineties melody by Gus G
1705,Play my Pandora app
1706,Play the album Remember Shakti - The Believer.
1707,Play Halid 08 by video game pianist on Pandora
1708,Play breed the killers on Itunes
1709,Play some seventies track from top Rie Tomosaka
1710,Play Geddy Lee music on Spotify sort by top
1711,Use the service Lastfm to play artist keren peles from the most popular symphony
1712,Play any track by Flame
1713,Play a sixties track by Noam Pikelny on iheart.
1714,Please play a song for me from 1959
1715,Play me something from the thirties by Candi Staton on Vimeo
1716,Can I hear a movement by rookantha gunathilake on the Vimeo service?
1717,play music on netflix
1718,Play me a fifties song
1719,Play my Acoustic Covers playlist on Spotify.
1720,Play Lenny Kaye music.
1721,play Ngola Ritmos top-ten songs
1722,Play the Charlie Hunter theme off of Last Fm
1723,Use Google Music to play some songs by Dr John
1724,play a tune by Margaret Kelly on Iheart
1725,Play the album Cara De Dios.
1726,Play track music from Peter Finestone on Netflix sort by newest
1727,Play Adieu by Al Arsenault
1728,Play Expresion from Mickey Finn
1729,play music by Bonobo
1730,Play the most popular chant song by Hossein Alizadeh from around 2009
1731,Play music from Youtube.
1732,Play Miami 2017 by Rodney Whitaker
1733,Play good Pure Soul on netflix 
1734,Can you play Halloween by Ajinoam Nini
1735,Play playlist funtime
1736,play Angelo Amorevoli
1737,play a ballad by Giorgio Moroder
1738,Please use Itunes to play something from 1986
1739,play Calico Skies by John Feinstein with Netflix
1740,Play artist Vlada Divljan from something he did that is good
1741,Play the track Pocahontas John Farnham
1742,play some popular bryan gregory songs
1743,play a seventies ballad by Annunzio Paolo Mantovani on Groove Shark
1744,play good Classified songs on Vimeo
1745,Play my Femme Fatale playlist on Vimeo
1746,I wish to listen to eighties music by Mike Dean.
1747,Play some Techno
1748,I wish to hear the playlist Estado de animo on Last Fm.
1749,play Fereydoun Farrokhzad best track
1750,Can I listen to music from the Easy Listening genre?
1751,Play a 1991 song by Anila Mirza
1752,play the top-20 Rita Macneil songs
1753,Play a 1974 sound track on Vimeo.
1754,Play me music from the twenties on Itunes.
1755,Play a sound track by Mac Dre.
1756,play a 1977 record by Bitty Mclean on Google Music
1757,Play The Wizard And I on Zvooq
1758,Play some 2011 music by Dan Healy.
1759,Play the best music from Klaus Badelt.
1760,Can I hear Jeremy Taggart's newest chant on Deezer?
1761,Listen to music from 1975
1762,play Latina
1763,play a top Ryuichi Kawamura chant on Groove Shark
1764,play a tune from 2000 by Bronislau Kaper
1765,Play a song from 1994.
1766,I'd like to hear the last song fro Willa Ford.
1767,Play my playlist springtime
1768,Open Lastfm and play Hot Lips Page from the sixties
1769,Use the service Itunes to play melody from 1998
1770,Play music from the punk genre on Last Fm.
1771,play Techno music
1772,play shara worden
1773,Play a top-50 tune from 1982.
1774,I want to hear some Boris Grebenchtchikov on Zvooq
1775,play chant music from 1993
1776,play melody music from 1988
1777,play the music track of 1998
1778,Play some music by Jody Williams from 2001
1779,I want to hear a Silvia Night ep from the sixties
1780,play a Samira Said ballad from the nineties
1781,Play Shoo on iheart from greatest record
1782,Play some music on Netflix
1783,Play Metal Crash Course playlist.
1784,play Khujo eighties track song
1785,Play Goldie Hill's record on Google Music.
1786,Play music from Lastfm
1787,I'm looking for the last track by Fei Yu Ching from the fourties
1788,Open pandora and play udhreko choli from Chowdiah
1789,Play a top symphony from the fourties
1790,play a Keith Richards album
1791,"Play the track Fight On, State by Yuvan Shankar Raja"
1792,play the newest ep from the sixties
1793,Play a song from 1950
1794,Play Moris Tepper
1795,play a new song from the seventies
1796,play music using Groove Shark
1797,Play Entre Raices Y Antenas by Lynn & Wade Llp.
1798,Play some acapella music 
1799,Play a Paolo Gregoletto song
1800,play Zvooq Night Rider list
1801,play The Edge by Deezer on Vans Warped Tour Compilation 2003
1802,Play Always Pop Punk.
1803,Play some ivy anderson from around 1967
1804,play the newest sound track from the thirties
1805,Play some seventies music on Netflix.
1806,Play Who Knows Where The Time Goes? by Grigory Leps
1807,Open Vimeo and play Lee Mellor good songs
1808,play some sad songs from the fifties
1809,Play music on groove shark
1810,play 1990 tunes on Groove Shark
1811,Play me a popular Ronnie Wood soundtrack
1812,Play Elitsa Todorova music
1813,Play something off my New Boots playlist
1814,Can you play Deezer from 2007?
1815,Please play some Black Metal music
1816,play twenties tunes
1817,Play some music on Last Fm
1818,Play twenties chant from Lagaylia Frazier on Itunes
1819,Play music from 1959 by Lenny Leblanc on Pandora.
1820,Play some fourties music on vimeo 
1821,Play chant music by pappu venugopala rao on Slacker.
1822,"I want to hear Aki Nawaz, play the song fair annie."
1823,Play music from 1958
1824,Use Spotify to play Who Was In My Room Last Night?
1825,Play the most popular music from Nat Stuckey on Itunes.
1826,Play some chanson style music.
1827,Play Socialism Is Good by terje bakken on Spotify.
1828,Play music from 1964.
1829,play a record from 1982
1830,Play a track by Titiyo
1831,play Lastfm by Steampunk
1832,Play a record from 2005 by Ruslana Lyschytschko.
1833,Play Is This My World? by Leo Arnaud
1834,Play While The Gate Is Open.
1835,Can you play a song from the newest movement by prince on Lastfm
1836,Play some Rui Da Silva.
1837,Play The Cherry-tree Carol by Edwin Mccain
1838,Play Tomtegubben Som Hade Snuva
1839,Play my Sophisticated Dinner playlist on Slacker
1840,Play the song domino by Luca Turilli
1841,Play a rock track from 1984
1842,play the newest Martin Solveig sound track
1843,Listen to Power Gaming playlist
1844,Play some chant from 1974
1845,play Mohammed Abdu from top 20
1846,Play the top ten by Andrea Del Rosario.
1847,Play a 2007 track from Adam Jones
1848,use Netflix to play Michael White tune from 1955
1849,listen to ballad songs from 1999
1850,I want ohear the 1996 soundtrack from deezer
1851,Play a soundtrack by musical artist Jimmy James
1852,Play music on youtube
1853,play the last Rocko music with deezer
1854,Play rie fu music sorted by the best.
1855,"Play Noche de chicas playlist
"
1856,Can you play some fifties music by lavern baker
1857,Please play something that's freak folk on Google Music
1858,play anything from 1970
1859,I wish to enjoy some fifties music by Johnny Paycheck.
1860,play steve harris False Gestures For A Devious Public album
1861,Play me a seventies song
1862,I want to hear a good album from Toni Cottura.
1863,use Iheart to listen to retro
1864,Open Youtube and play Iron Mountain Depot from John Lomax
1865,I want to listen to a popular melody by David Bazan
1866,"Play a Ladyhawke record
"
1867,Play the newest melody from Corey Clark on Lastfm
1868,Play music from Gavin Koppell movement
1869,Play best fourties from david izquierdo on album
1870,I need some Hardcore Hip Hop
1871,Play Fais Les Backs by Sarah Geronimo on Youtube
1872,Play a fifties theme on lastfm 
1873,play Women of Jazz
1874,play Dj Ozma top songs
1875,PLay a track by deeyah khan.
1876,Play some seventies songs from Joseph Genaro on Google Music
1877,Play a ballad by Heath
1878,Play 1952 Yusef Lateef on Netflix
1879,Play eighties music on Groove Shark.
1880,"Play Paul Landers, O Rio, A Cidade, A arvore on slacker

"
1881,Let me hear the Rave Tapes album from Yuki Koyanagi.
1882,Play the top-five ballad sort from 2004
1883,Play sixties theme music
1884,Play the song Two Suns In The Sunset by Airi Suzuki
1885,Play music from 2015
1886,Play the greatest music by Phoebe Snow
1887,Play me a song by Carol Arnauld from 2003
1888,Play me a song from Movies For The Blind on Pandora
1889,Play 2012 symphony music by Nardwuar The Human Serviette on Netflix.
1890,Please play me a popular track from 1984.
1891,Play track Ai Se Eu Te Pego on google music from artist Maestro
1892,Play Lil Hardin Armstrong from Itunes.
1893,Turn on Spotify to Tiny Tim ep
1894,"Play a 1969 ballad by beth nielsen chapman, new first."
1895,play a ballad by Chick Corea
1896,Play music off the track Child Maurice
1897,Play me a song from Voices & Images
1898,play robert fripp sound track on Pandora
1899,play them by Guy-manuel De Homem-christo
1900,Play some rock & roll by Deezer.
1901,I'd like to hear a track by Theo Keating.
1902,Play some theme based music from the thirties.
1903,I wish to listen to some instrumental music.
1904,Play chant from Freddy Fender on iheart
1905,Can you play some music from 1999
1906,Play music from the list Indie Electronics
1907,play some King Tubby from the eighties
1908,Play music on Netflix.
1909,Play Randy Castillo's music from 1952.
1910,play ambient music
1911,Play the last song by Goldie
1912,Play Pride Of The Prairie from Johnny Burke
1913,Play them the greatest music by Chris Frantz.
1914,Play the song Le Renouveau
1915,I want to listen to Swing music on Iheart
1916,play the latest Thelma Aoyama
1917,I'd like to listen to Tom Cochrane's 1990 ep on Zvooq.
1918,Play a Herbie Fields record from the sixties
1919,Play the most popular sort by ep by Brooke Fraser
1920,Play me a 1986 Jim Root
1921,Play my Still Got the Blues playlist.
1922,I would like to hear a song by Tim Reynolds
1923,play Fey's album Diamond Head on Zvooq
1924,play a chant by Marina Verenikina
1925,Play Stevan Faddy on Google Music.
1926,Play some sixties on netflix
1927,play a tune from 1973
1928,Play me Benjamin Kowalewicz's top hits
1929,Find Mahalakshmi Iyer music on Netflix
1930,Play some music by Mark Heard.
1931,Play Inventions For The New Season
1932,I want to hear some freestyle music.
1933,play Yusef Lateef songs from the fifties
1934,Play sweet shanghai devil by Teddy Diaz.
1935,play paul riley on Youtube
1936,Play some rock music on Youtube
1937,Play music from negerpunk
1938,play music by Odd Nosdam
1939,Play music by Susumu Hirasawa.
1940,Can you play something off my Kids Workout playlist on Groove Shark
1941,play My Back Pages by Paul Young on vimeo 
1942,Play me the greatest Doctor Fink song on zvooq
1943,Use Deezer to play music
1944,Play Bitch Please Ii from Julee Cruise on Iheart
1945,I want to hear music from the Lotus Flower album by Andy Mccoy
1946,Play a symphony from the thirties.
1947,Play the song Jingle Bells
1948,Please play me some Satire music
1949,Play a popular song by Willie Dixon on Groove Shark
1950,Let me listen to The Music Of Nature album by Paul Draper.
1951,I want to hear music from the sixties.
1952,I want to hear a soundtrack by dj ozma from the sixties.
1953,play Hanging Out and Relaxing
1954,Play Within You Without You by Distance on zvooq.
1955,play some Industrial music on Lastfm
1956,Play me a song from 1968 on Spotify
1957,Play the music of Aphex Twin's good Album
1958,Play me some music from 1999
1959,I want to hear Richard Falomir's best song on Pandora
1960,Let's play the album Handover on Deezer
1961,I want to hear Choice on Last Fm from the twenties.
1962,Play a 1964 symphony on Netflix.
1963,play the last song from the thirties by Airto Moreira
1964,Play Rob Dougan on youtube
1965,play the top jazz record from 1951
1966,Play music on Netflix by Don Kikas
1967,Play the last Jonny Wickersham song
1968,play Luis Alfonzo Larrain from 1995
1969,play a track by Alpha Blondy with Deezer
1970,I want to hear La Jaula De Oro by Mc Ren on Google Music.
1971,Play Hættuleg Hljomsveit & Glæpakvendið Stella by Kaori Iida
1972,play some music from the thirties
1973,"Play the track Goodbye Alexander, Goodbye Honey Boy from Ehsaan Noorani"
1974,play me a Mel Draisey tune from the fourties with vimeo 
1975,Play the best chant of 1975
1976,I want to hear secrets on parade from Tommy Walter
1977,Play the most popular twenties record from Leland Sklar
1978,Play the last 1954 ep by Povel Ramel.
1979,play music by Christian Bautista
1980,Play 2004 on pandora
1981,I'd like to hear Infinite Indie Folk on Slacker. 
1982,Play some contemporary christian on Groove Shark.
1983,Play some music from 1989 by Sanjeev Abhyankar.
1984,Let me hear the Live From The Ghetto album by Beau Jocque.
1985,Play Turbulence Wild Streetdanz from Jeff Buckley
1986,play music from the year 1979
1987,Play the greatest Ricky Bell music
1988,Play some 1982 movement music on Slacker
1989,Play music by Sarah Connor
1990,Play movement by Duane Allman.
1991,Play music from Alison Sudol
1992,Play Odessa by Maartin Allcock.
1993,Play music from 1954
1994,I want to hear a 1976 symphony by Jam Master Jay
1995,Play the most popular track from Valery Alexandrovich Kipelov
1996,Play some good movement music by Brian Littrell from around 2001
1997,play 2007 tunes by Bunny Berigan
1998,Play a ballad form 2014 by Double on Google Music
1999,play Roy Orbison tunes now
